benchmark,backend,input_size_tier,iterations,mean_seconds,std_seconds,cv_percent,min_seconds,max_seconds,p50_seconds,p95_seconds,p99_seconds,mean_peak_rss_bytes,mean_cpu_percent,throughput_ops_per_sec
get_primes_large,python,large,10,0.0010670498944818974,1.297713459470864e-05,1.2161694276732622,0.0010497078765183687,0.0010875421576201916,0.0010654579382389784,0.0010875421576201916,0.0010875421576201916,14285209.6,0.24,937.1632996464019
get_primes_large,rust,large,10,0.001038641599006951,1.8229710797387028e-05,1.7551493041311386,0.001024165889248252,0.0010886250529438257,0.0010315407998859882,0.0010886250529438257,0.0010886250529438257,14286848,0.23,962.7960221852309
get_primes_medium,python,medium,10,0.0008960917126387358,0.00032056254887302546,35.77340849733559,0.0007404580246657133,0.001831541070714593,0.0007647080346941948,0.001831541070714593,0.001831541070714593,13685555.2,0.42,1115.9572015851857
get_primes_medium,rust,medium,10,0.0007445167051628232,2.769793798968623e-05,3.7202574230525545,0.0007200001273304224,0.000823125010356307,0.0007339578587561846,0.000823125010356307,0.000823125010356307,13677363.2,0.3,1343.153206725299
get_primes_small,python,small,10,0.0008198706666007638,8.524086319684723e-05,10.396867051026632,0.0007541670929640532,0.0010254171211272478,0.000772290863096714,0.0010254171211272478,0.0010254171211272478,13590528,0.22,1219.7045713881482
get_primes_small,rust,small,10,0.0007571585010737181,3.149650828917859e-05,4.159830239575166,0.000712208915501833,0.0008006251882761717,0.0007424999494105577,0.0008006251882761717,0.0008006251882761717,13675724.8,0.22,1320.7274283811264
get_primes_xlarge,python,xlarge,10,0.0036810957826673985,4.909223803505413e-05,1.333631096104782,0.003633500076830387,0.0037961250636726618,0.0036624169442802668,0.0037961250636726618,0.0037961250636726618,17593139.2,0.32,271.65823956783305
get_primes_xlarge,rust,xlarge,10,0.0036383040947839617,2.301385581907062e-05,0.6325434933287829,0.0035977500956505537,0.0036718749906867743,0.0036351250018924475,0.0036718749906867743,0.0036718749906867743,17470259.2,0.33,274.85333109831186
