benchmark,backend,input_size_tier,iterations,mean_seconds,std_seconds,cv_percent,min_seconds,max_seconds,p50_seconds,p95_seconds,p99_seconds,mean_peak_rss_bytes,mean_cpu_percent,throughput_ops_per_sec
roman_to_int_large,python,large,10,0.0007508209440857172,1.2221145810685692e-05,1.6277044356517671,0.0007361250463873148,0.0007709581404924393,0.0007454589940607548,0.0007709581404924393,0.0007709581404924393,13639680,0.27,1331.8754729434338
roman_to_int_large,rust,large,10,0.0007788040675222874,0.00011201203091459271,14.382568811042736,0.0007059578783810139,0.0011029159650206566,0.0007327499333769083,0.0011029159650206566,0.0011029159650206566,13690470.4,0.25,1284.0200015665462
roman_to_int_medium,python,medium,10,0.000796891562640667,6.861589554049871e-05,8.610443221801168,0.0007466659881174564,0.0009892499074339867,0.000774916959926486,0.0009892499074339867,0.0009892499074339867,13737984,0.3,1254.8758788288467
roman_to_int_medium,rust,medium,10,0.0007435751613229513,4.561782285012548e-05,6.134930969044653,0.0007108747959136963,0.0008778329938650131,0.0007301250007003546,0.0008778329938650131,0.0008778329938650131,13543014.4,0.22,1344.8539596465591
roman_to_int_small,python,small,10,0.0008554084692150354,7.364740765718867e-05,8.60961871522866,0.0007467500399798155,0.0009776251390576363,0.0008361251093447208,0.0009776251390576363,0.0009776251390576363,13705216,0.24,1169.0321477850796
roman_to_int_small,rust,small,10,0.0008039331994950771,8.320517862236926e-05,10.349762725886626,0.0007045839447528124,0.0010109590366482735,0.0007972910534590483,0.0010109590366482735,0.0010109590366482735,13652787.2,0.16,1243.884442921459
roman_to_int_xlarge,python,xlarge,10,0.0007767334114760161,3.051193214479347e-05,3.928237371276724,0.0007478329353034496,0.0008474171627312899,0.0007646668236702681,0.0008474171627312899,0.0008474171627312899,13572505.6,0.32,1287.4430084058229
roman_to_int_xlarge,rust,xlarge,10,0.000788779160939157,5.744598437436759e-05,7.282898334429847,0.0007151251193135977,0.0009137499146163464,0.0007690831553190947,0.0009137499146163464,0.0009137499146163464,13841203.2,0.17,1267.7819718377875
