benchmark,backend,input_size_tier,iterations,mean_seconds,std_seconds,cv_percent,min_seconds,max_seconds,p50_seconds,p95_seconds,p99_seconds,mean_peak_rss_bytes,mean_cpu_percent,throughput_ops_per_sec
run_example_large,python,large,10,0.18946095015853642,0.025691037320050972,13.560069923935947,0.14724791678600013,0.2276613749563694,0.18741812487132847,0.2276613749563694,0.2276613749563694,21854617.6,0.88,5.278132507850424
run_example_large,rust,large,10,0.02260268300306052,0.0006115060517463204,2.70545780632998,0.022097500041127205,0.024295957991853356,0.02233616611920297,0.024295957991853356,0.024295957991853356,19978649.6,0.27,44.242535271790295
run_example_medium,python,medium,10,0.1738359873648733,0.02556053702703373,14.703823652684415,0.13380791596136987,0.21693137497641146,0.17127675004303455,0.21693137497641146,0.21693137497641146,21964390.4,0.73,5.752548797051145
run_example_medium,rust,medium,10,0.022386995796114206,0.00023929780524585006,1.068914326090086,0.0220940001308918,0.022948666010051966,0.022307833889499307,0.022948666010051966,0.022948666010051966,19837747.2,0.19,44.66878937698169
run_example_small,python,small,10,0.15472857079003005,0.026573450504538704,17.17423638624533,0.13909929106011987,0.23084795894101262,0.1433180421590805,0.23084795894101262,0.23084795894101262,21915238.4,0.83,6.462930504005115
run_example_small,rust,small,10,0.022311570961028336,0.00013443801085020552,0.6025483865973787,0.022081000031903386,0.022481791209429502,0.02234491682611406,0.022481791209429502,0.022481791209429502,19998310.4,0.23,44.81979335953985
run_example_xlarge,python,xlarge,10,0.16447302899323404,0.013100779001960222,7.9653053647471594,0.14911570795811713,0.19154670904390514,0.16191745805554092,0.19154670904390514,0.19154670904390514,22028288,0.65,6.080024221121003
run_example_xlarge,rust,xlarge,10,0.022426766785793008,0.000510456746320342,2.2761049383351506,0.02194945910014212,0.023819457972422242,0.022231583017855883,0.023819457972422242,0.023819457972422242,19947520,0.26,44.58957501771873
