benchmark,backend,input_size_tier,iterations,mean_seconds,std_seconds,cv_percent,min_seconds,max_seconds,p50_seconds,p95_seconds,p99_seconds,mean_peak_rss_bytes,mean_cpu_percent,throughput_ops_per_sec
group_anagrams_large,python,large,100,0.003487540881615132,0.0007208318363014336,20.66877094119125,0.0033077499829232693,0.010614875005558133,0.0033957918640226126,0.00355699984356761,0.003935541957616806,16014213.12,0.306,286.73499005318763
group_anagrams_large,rust,large,100,0.0034372912417165937,0.0002581934094227594,7.511537174656659,0.003308874787762761,0.005905207945033908,0.003397708060219884,0.003524000057950616,0.0038269590586423874,16000122.88,0.281,290.92675879876765
group_anagrams_medium,python,medium,100,0.0009882236644625664,3.000006706521915e-05,3.035756797175498,0.0009589579422026873,0.0012023751623928547,0.0009811660274863243,0.0010308329947292805,0.001068750163540244,13727662.08,0.29,1011.9166702447244
group_anagrams_medium,rust,medium,100,0.000995285406243056,2.8902402025435574e-05,2.9039310577791593,0.000961582874879241,0.0011497500818222761,0.0009884999599307775,0.0010542499367147684,0.0010968749411404133,13700792.32,0.337,1004.7369264407688
group_anagrams_small,python,small,100,0.0007990653836168349,3.888117207356257e-05,4.865831116043783,0.0007562090177088976,0.0009843329899013042,0.0007869170513004065,0.0008781671058386564,0.0009492919780313969,13628375.04,0.318,1251.462046164068
group_anagrams_small,rust,small,100,0.0008132004621438682,0.00011288628211511835,13.881728721293687,0.0007492920849472284,0.0018567501101642847,0.0007891668938100338,0.0008911672048270702,0.0010122079402208328,13571031.04,0.304,1229.7090896427503
group_anagrams_xlarge,python,xlarge,100,0.012724452915135772,0.0006075893421643153,4.7749741872327265,0.012295791879296303,0.017045750049874187,0.012617750093340874,0.012938166037201881,0.01559108286164701,23605903.36,0.299,78.58884045305376
group_anagrams_xlarge,rust,xlarge,100,0.012675425079651177,0.00041103481875740504,3.242769502202104,0.01226725010201335,0.016264874953776598,0.01263291691429913,0.012953749857842922,0.01378112519159913,23518248.96,0.304,78.89281769377313
